Name,Publisher,Version,Licenses,Provenance
freetype2,sailfishos-mirror,VER-2-13-1,"FTL, Unknown, GPL-1.0-or-later, Zlib, Unknown, GPL-3.0-only, MIT, BSD-3-Clause, GPL-2.0-only, Unknown",Unknown
jdk11u,openjdk,jdk-11.0.7+1,"Libpng, FTL, Unknown, Unknown, Unknown, Unknown, MIT, BSD-3-Clause, GPL-2.0-only, BSD-2-Clause",Unknown
freetype,hexops,bb024a0,"FTL, Unknown, GPL-1.0-or-later, Zlib, Unknown, GPL-3.0-only, MIT, BSD-3-Clause, GPL-2.0-only, Unknown",Unknown
unarchiver,incbee,release-3.5,"Unknown, Unknown",Unknown
freetype2,aseprite,VER-2-6-4,"Unknown, Unknown",Unknown
openxr-sdk,khronosgroup,release-1.1.41,"Unknown, Apache-2.0, MIT",Unknown
openxr-sdk-source,khronosgroup,release-1.0.33,"Unknown, CC-BY-4.0, Apache-2.0, MIT",Unknown
openxr_loader_for_android,org.khronos.openxr,1.1.36,"Unknown, Apache-2.0, MIT",Unknown
jsoncpp,uasonice,1.9.4-bin-x64,"Unknown, MIT",Unknown
HITSZ_RMVISION_2021,cxnaive,3951c09,"Unknown, MIT",Unknown
ps2dev,ps2dev,latest,"Unknown, MIT",Unknown
domoticz,domoticz,2020.1,"Unknown, GPL-3.0-only, MIT",Unknown
ubuntuwebrtcdemo,shifengjin,47cd084,"Unknown, MIT",Unknown
jsoncpp,microsure-gen-3,1.9.3,"Unknown, Unknown, Unknown, MIT",Unknown
skia_build,fandawei009,chrome/m109,Apache-2.0,Unknown
WebKit,WebKit,tk-2.41.1,"Unknown, Unknown, Unknown, CC-BY-3.0, Python-2.0, Unknown, ISC, Unknown, MIT, BSD-3-Clause, Apache-2.0, Unknown, BSD-2-Clause-Patent, MPL-2.0, Unknown, Unknown, BSD-3-Clause-Clear, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, GPL-3.0-only, Unknown, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, GPL-2.0-only, CC-BY-ND-2.5, Unknown, WTFPL, LGPL-2.1-only, OFL-1.1, Unknown, Unknown, Unknown",Unknown
WebKit,oven-sh,autobuild-6e5bbee4a3f5fe81a095067e5d0f8d8f891f79d1,"Unknown, CC-BY-3.0, Unknown, Python-2.0, Unknown, ISC, Apache-2.0, Unknown, BSD-3-Clause, MIT, Unknown, BSD-2-Clause-Patent, MPL-2.0, Unknown, BSD-3-Clause-Clear, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, GPL-3.0-only, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, GPL-2.0-only, Unknown, Unknown, CC-BY-ND-2.5, Unknown, WTFPL, LGPL-2.1-only, OFL-1.1, Unknown",Unknown
vorbis,xiph,1.3.7,BSD-3-Clause,Unknown
vdhcoapp,aclap-dev,1.0.0,GPL-2.0-only,Unknown
